[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar  -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel_new_lm.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel_new_lm.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
565     | 0.4643    | 0.4563    |
566     | 0.4643    | 0.4566    |
567     | 0.4644    | 0.4567    |
568     | 0.4645    | 0.4566    |
569     | 0.4645    | 0.4565    |
570     | 0.4646    | 0.4564    |
571     | 0.4646    | 0.4564    |
572     | 0.4648    | 0.4567    |
573     | 0.4648    | 0.4567    |
574     | 0.4648    | 0.4567    |
575     | 0.465     | 0.4564    |
576     | 0.465     | 0.4566    |
577     | 0.465     | 0.4565    |
578     | 0.465     | 0.4565    |
579     | 0.465     | 0.4566    |
580     | 0.465     | 0.4567    |
581     | 0.4651    | 0.4569    |
582     | 0.4651    | 0.4567    |
583     | 0.4652    | 0.4565    |
584     | 0.4652    | 0.4565    |
585     | 0.4654    | 0.456     |
586     | 0.4655    | 0.4559    |
587     | 0.4656    | 0.4559    |
588     | 0.4656    | 0.4557    |
589     | 0.4656    | 0.4557    |
590     | 0.4656    | 0.4556    |
591     | 0.4657    | 0.4557    |
592     | 0.4656    | 0.4557    |
593     | 0.4657    | 0.4556    |
594     | 0.4657    | 0.4556    |
595     | 0.4657    | 0.4556    |
596     | 0.4658    | 0.4558    |
597     | 0.4659    | 0.4558    |
598     | 0.4658    | 0.4557    |
599     | 0.4658    | 0.4559    |
600     | 0.4658    | 0.456     |
601     | 0.4659    | 0.456     |
602     | 0.466     | 0.456     |
603     | 0.4661    | 0.456     |
